,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
0,Mercedes-Benz GLA-Class GLA200,"$50,888","$23,370 /yr",26-May-2014,"1,595 cc","123,122 km",SUV
1,Mercedes-Benz A-Class A180 Style,"$71,800","$17,720 /yr",07-Mar-2016,"1,595 cc","55,000 km",Hatchback
2,Mazda 3 HB 1.5A Deluxe,"$84,800","$13,510 /yr",12-Apr-2018,"1,496 cc","44,500 km",Hatchback
3,Honda Fit 1.3A GF,"$72,800","$12,120 /yr",22-Jun-2018,"1,317 cc","49,700 km",Hatchback
4,Honda Jazz 1.5A RS,"$52,888","$13,520 /yr",04-Mar-2016,"1,498 cc","102,126 km",Hatchback
5,MINI One 1.5A 5DR,"$148,800","$15,620 /yr",30-Jul-2021,"1,499 cc","9,800 km",Hatchback
6,Volkswagen Jetta GP 1.4A TSI,"$40,000","$13,290 /yr",27-May-2015,"1,390 cc","115,000 km",Sedan
7,Mercedes-Benz CLA-Class CLA180 AMG Line,"$179,500","$19,500 /yr",06-Nov-2020,"1,332 cc","18,000 km",Luxury
8,Mercedes-Benz C-Class C180 CGI (New 5-yr COE),"$64,800","$12,950 /yr",29-Oct-2012,"1,595 cc",-,Luxury
9,Toyota Wish 1.8A X (COE till 07/2024),"$24,088","$12,710 /yr",28-Jul-2009,"1,794 cc","181,300 km",MPV
10,Nissan NV200 1.5M,"$26,800",N.A,06-Jan-2015,"1,461 cc",-,Van
11,BMW 5 Series 520i,"$179,800","$21,350 /yr",26-Jul-2019,"1,998 cc","88,505 km",Luxury
12,BMW 2 Series 218i Gran Coupe Luxury,"$156,800","$15,820 /yr",30-Mar-2021,"1,499 cc","24,488 km",Luxury
13,Hyundai Tucson 2.0A GLS Sunroof,"$76,800","$14,020 /yr",21-Apr-2017,"1,999 cc","80,000 km",SUV
14,Volkswagen Golf 1.2A TSI,"$45,800","$14,590 /yr",16-Jul-2015,"1,197 cc","90,122 km",Hatchback
15,Toyota Dyna 150 3.0M,"$76,800","$11,540 /yr",30-Apr-2019,"2,982 cc",-,Truck
16,Mercedes-Benz A-Class Saloon A180 Progressive,"$177,888","$16,910 /yr",27-Jan-2022,"1,332 cc","6,800 km",Luxury
17,BMW 3 Series 318i Highline,"$209,800","$18,870 /yr",31-May-2022,"1,998 cc",32 km,Luxury
18,Audi A5 Sportback 2.0A TFSI S-tronic Design,"$148,777","$19,670 /yr",30-Jan-2019,"1,984 cc","32,000 km",Luxury
19,Mazda 3 HB 1.5A Deluxe,"$75,888","$13,110 /yr",06-Dec-2017,"1,496 cc","66,500 km",Hatchback
20,Mazda 6 2.0A Executive,"$130,888","$13,840 /yr",25-Mar-2021,"1,998 cc","24,200 km",Luxury
21,Mercedes-Benz C-Class C180 Avantgarde,"$135,888","$19,620 /yr",19-Jun-2018,"1,595 cc","80,000 km",Luxury
22,Toyota Sienta 1.5A G,"$66,800","$14,020 /yr",23-Dec-2016,"1,496 cc","71,203 km",MPV
23,Skoda Kodiaq 1.4A TSI Ambition Plus,"$155,777","$17,150 /yr",27-Nov-2020,"1,395 cc","29,000 km",SUV
24,BMW X5 xDrive35i 7-Seater,"$132,800","$25,360 /yr",11-Apr-2016,"2,979 cc","102,428 km",SUV
25,BMW X1 sDrive18i M-Sport,"$178,800","$16,560 /yr",30-Dec-2021,"1,499 cc",20 km,SUV
26,BMW 3 Series 316i Sport (New 10-yr COE),"$102,800","$10,270 /yr",17-May-2013,"1,598 cc","107,215 km",Luxury
27,Mercedes-Benz C-Class C180 Avantgarde,"$195,800","$19,920 /yr",22-Jun-2021,"1,497 cc","9,900 km",Luxury
28,Audi A4 1.8A TFSI MU (COE till 11/2024),"$35,800","$15,970 /yr",18-Feb-2010,"1,798 cc",-,Luxury
29,Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic SE,"$225,000","$23,820 /yr",29-Dec-2020,"1,997 cc","15,000 km",SUV
30,Toyota RegiusAce 3.0M,"$54,800","$12,140 /yr",10-Mar-2017,"2,982 cc","109,000 km",Van
31,Volvo V40 Cross Country T5,"$88,000","$22,410 /yr",08-Dec-2015,"1,969 cc","70,000 km",Hatchback
32,Mercedes-Benz CLA-Class CLA180,"$55,888","$21,780 /yr",20-Oct-2014,"1,595 cc","123,456 km",Luxury
33,Opel Insignia 1.6A Turbo,"$73,800","$12,330 /yr",31-Jul-2017,"1,598 cc","61,038 km",Luxury
34,Toyota Camry 2.0A (COE till 01/2029),"$61,800","$9,640 /yr",31-Jul-2009,"1,998 cc",-,Luxury
35,Toyota Corolla Altis 1.6A (COE till 04/2029),"$56,800","$8,530 /yr",07-Jul-2009,"1,598 cc",-,Sedan
36,Honda Odyssey 2.4A EXV-S Sunroof,"$85,800","$18,390 /yr",02-Jun-2016,"2,356 cc","107,300 km",MPV
37,Kia Cerato Forte 1.6A EX (COE till 02/2025),"$24,800","$9,970 /yr",19-Mar-2010,"1,591 cc","119,000 km",Sedan
38,Mercedes-Benz C-Class C180 AMG Line,"$157,800","$21,020 /yr",29-Jan-2019,"1,595 cc","45,065 km",Luxury
39,Nissan NV200 1.5M,"$63,800","$9,180 /yr",16-Aug-2019,"1,461 cc","60,371 km",Van
40,Audi S3 Sedan 2.0A TFSI Quattro,"$269,888","$27,240 /yr",28-Jul-2021,"1,984 cc","5,000 km",Sports
41,Mercedes-Benz A-Class Saloon A200 AMG Line,-,N.A,23-Apr-2020,"1,332 cc","19,000 km",Luxury
42,Honda Jade 1.5A RS (OPC),"$78,800","$13,780 /yr",17-May-2017,"1,496 cc","41,331 km",MPV
43,Nissan NV200 1.6A DX,"$49,800","$7,910 /yr",19-Dec-2018,"1,597 cc","59,000 km",Van
44,Toyota Corolla Altis 1.6A (COE till 09/2027),"$44,800","$8,850 /yr",27-Sep-2007,"1,598 cc","96,000 km",Sedan
45,Mitsubishi Eclipse Cross 1.5A,"$102,800","$13,950 /yr",08-Mar-2019,"1,499 cc","43,923 km",SUV
46,Honda Freed Hybrid 1.5A G Honda Sensing,"$82,800","$16,660 /yr",30-Jun-2017,"1,496 cc",-,MPV
47,Bentley Continental GT Convertible 4.0A V8,"$200,000",N.A,08-Nov-2012,"3,993 cc","88,000 km",Sports
48,BMW X2 sDrive18i M-Sport Lite,"$142,000","$16,360 /yr",21-Jan-2020,"1,499 cc",-,SUV
49,Toyota Estima 2.4A X (COE till 08/2029),"$84,800","$12,210 /yr",13-Aug-2009,"2,362 cc","112,348 km",MPV
50,Toyota Vios 1.5A J (COE till 02/2030),"$62,800","$8,380 /yr",09-Mar-2010,"1,497 cc","142,888 km",Sedan
51,Toyota Camry 2.0A (COE till 05/2029),"$63,800","$9,460 /yr",21-Aug-2009,"1,998 cc","128,744 km",Luxury
52,Toyota Camry 2.4A (COE till 04/2028),"$53,800","$9,580 /yr",15-Apr-2008,"2,362 cc","197,555 km",Luxury
53,Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,"$296,800","$29,830 /yr",25-May-2021,"1,991 cc","21,629 km",SUV
54,Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic HSE,"$210,800","$25,180 /yr",25-Oct-2019,"1,997 cc","39,138 km",SUV
55,Kia Cerato K3 1.6A SX,"$55,800","$12,770 /yr",26-May-2016,"1,591 cc","77,000 km",Sedan
56,Mitsubishi Fuso Canter FEA01,"$19,800","$10,410 /yr",30-Jul-2014,"2,998 cc","125,500 km",Truck
57,Nissan Qashqai 1.2A DIG-T Premium,"$53,800","$13,210 /yr",21-Mar-2016,"1,197 cc","88,237 km",SUV
58,MINI Cooper S 1.6A (COE till 04/2029),"$65,800","$9,900 /yr",28-Apr-2009,"1,598 cc",-,Sports
59,Nissan Qashqai 1.2A DIG-T,"$64,800","$12,750 /yr",22-Mar-2017,"1,197 cc","93,000 km",SUV
60,Mazda 3 1.5A,"$82,000","$11,910 /yr",14-Dec-2018,"1,496 cc","39,386 km",Sedan
61,Volkswagen Tiguan 1.4A TSI BMT R-Line Panoramic Roof,"$66,800","$14,670 /yr",10-Mar-2016,"1,390 cc","78,000 km",SUV
62,Toyota Camry Hybrid 2.5A G,"$116,800","$17,070 /yr",26-Jul-2018,"2,487 cc",-,Luxury
63,Nissan Teana 2.0A (COE till 09/2028),"$54,800","$9,140 /yr",02-Sep-2008,"1,997 cc","185,087 km",Luxury
64,Subaru Forester 2.0i-L Sunroof,"$88,800","$13,770 /yr",20-Aug-2018,"1,995 cc","76,000 km",SUV
65,Isuzu CYZ52K Tipper,"$99,800","$24,080 /yr",27-Oct-2016,"15,681 cc",-,Truck
66,Toyota Vellfire 2.4A Z Platinum Selection (COE till 08/2030),"$99,800","$12,480 /yr",01-Sep-2010,"2,362 cc","130,343 km",MPV
67,Toyota Estima 2.4A Modellista (COE till 02/2028),"$66,800","$12,330 /yr",04-Feb-2008,"2,362 cc","130,337 km",MPV
68,Lexus ES Hybrid ES300h Luxury Sunroof,"$145,800","$21,860 /yr",25-Jan-2018,"2,494 cc","36,206 km",Luxury
69,Kia Niro Electric Long Range,"$157,800","$18,210 /yr",20-Feb-2020,-,"24,071 km",Hatchback
70,Mercedes-Benz E-Class E250 CGI Cabriolet AMG Line,"$118,000","$27,960 /yr",23-Sep-2015,"1,991 cc","93,000 km",Sports
71,BMW 5 Series 520i SE,"$153,888","$21,100 /yr",24-May-2018,"1,998 cc","56,341 km",Luxury
72,Toyota Corolla Altis 1.6A (COE till 01/2029),"$54,800","$8,640 /yr",05-Jan-2009,"1,598 cc","132,622 km",Sedan
73,BMW 2 Series 216d Gran Tourer Luxury,"$77,800","$16,720 /yr",28-Jul-2016,"1,496 cc","109,000 km",MPV
74,Toyota Estima 2.4A Aeras (COE till 09/2028),"$74,800","$12,470 /yr",02-Sep-2008,"2,362 cc","130,298 km",MPV
75,Mitsubishi Eclipse Cross 1.5A Style,"$101,800","$13,920 /yr",14-Jan-2019,"1,499 cc","60,000 km",SUV
76,Maserati GranCabrio Sport 4.7A,"$375,800","$42,370 /yr",25-Oct-2018,"4,691 cc","42,500 km",Sports
77,Mazda 3 1.5A Sunroof,"$65,888","$11,440 /yr",29-Dec-2017,"1,496 cc","67,100 km",Sedan
78,Mitsubishi Outlander 2.4A,"$80,800","$14,610 /yr",07-Jul-2017,"2,360 cc",-,SUV
79,BMW 5 Series 520i,"$177,800","$21,730 /yr",23-May-2019,"1,998 cc","35,841 km",Luxury
