,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type,brand,model
0,Mercedes-Benz GLA-Class GLA200,50888.0,23370.0,2014-05-26,1595.0,123122.0,SUV,Mercedes-Benz,GLA-Class GLA200
1,Mercedes-Benz A-Class A180 Style,71800.0,17720.0,2016-03-07,1595.0,55000.0,Hatchback,Mercedes-Benz,A-Class A180 Style
2,Mazda 3 HB 1.5A Deluxe,84800.0,13510.0,2018-04-12,1496.0,44500.0,Hatchback,Mazda,3 HB 1.5A Deluxe
3,Honda Fit 1.3A GF,72800.0,12120.0,2018-06-22,1317.0,49700.0,Hatchback,Honda,Fit 1.3A GF
4,Honda Jazz 1.5A RS,52888.0,13520.0,2016-03-04,1498.0,102126.0,Hatchback,Honda,Jazz 1.5A RS
5,MINI One 1.5A 5DR,148800.0,15620.0,2021-07-30,1499.0,9800.0,Hatchback,MINI,One 1.5A 5DR
6,Volkswagen Jetta GP 1.4A TSI,40000.0,13290.0,2015-05-27,1390.0,115000.0,Sedan,Volkswagen,Jetta GP 1.4A TSI
7,Mercedes-Benz CLA-Class CLA180 AMG Line,179500.0,19500.0,2020-11-06,1332.0,18000.0,Luxury,Mercedes-Benz,CLA-Class CLA180 AMG Line
8,Mercedes-Benz C-Class C180 CGI (New 5-yr COE),64800.0,12950.0,2012-10-29,1595.0,,Luxury,Mercedes-Benz,C-Class C180 CGI (New 5-yr COE)
9,Toyota Wish 1.8A X (COE till 07/2024),24088.0,12710.0,2009-07-28,1794.0,181300.0,MPV,Toyota,Wish 1.8A X (COE till 07/2024)
10,Nissan NV200 1.5M,26800.0,,2015-01-06,1461.0,,Van,Nissan,NV200 1.5M
11,BMW 5 Series 520i,179800.0,21350.0,2019-07-26,1998.0,88505.0,Luxury,BMW,5 Series 520i
12,BMW 2 Series 218i Gran Coupe Luxury,156800.0,15820.0,2021-03-30,1499.0,24488.0,Luxury,BMW,2 Series 218i Gran Coupe Luxury
13,Hyundai Tucson 2.0A GLS Sunroof,76800.0,14020.0,2017-04-21,1999.0,80000.0,SUV,Hyundai,Tucson 2.0A GLS Sunroof
14,Volkswagen Golf 1.2A TSI,45800.0,14590.0,2015-07-16,1197.0,90122.0,Hatchback,Volkswagen,Golf 1.2A TSI
15,Toyota Dyna 150 3.0M,76800.0,11540.0,2019-04-30,2982.0,,Truck,Toyota,Dyna 150 3.0M
16,Mercedes-Benz A-Class Saloon A180 Progressive,177888.0,16910.0,2022-01-27,1332.0,6800.0,Luxury,Mercedes-Benz,A-Class Saloon A180 Progressive
17,BMW 3 Series 318i Highline,209800.0,18870.0,2022-05-31,1998.0,32.0,Luxury,BMW,3 Series 318i Highline
18,Audi A5 Sportback 2.0A TFSI S-tronic Design,148777.0,19670.0,2019-01-30,1984.0,32000.0,Luxury,Audi,A5 Sportback 2.0A TFSI S-tronic Design
19,Mazda 3 HB 1.5A Deluxe,75888.0,13110.0,2017-12-06,1496.0,66500.0,Hatchback,Mazda,3 HB 1.5A Deluxe
20,Mazda 6 2.0A Executive,130888.0,13840.0,2021-03-25,1998.0,24200.0,Luxury,Mazda,6 2.0A Executive
21,Mercedes-Benz C-Class C180 Avantgarde,135888.0,19620.0,2018-06-19,1595.0,80000.0,Luxury,Mercedes-Benz,C-Class C180 Avantgarde
22,Toyota Sienta 1.5A G,66800.0,14020.0,2016-12-23,1496.0,71203.0,MPV,Toyota,Sienta 1.5A G
23,Skoda Kodiaq 1.4A TSI Ambition Plus,155777.0,17150.0,2020-11-27,1395.0,29000.0,SUV,Skoda,Kodiaq 1.4A TSI Ambition Plus
24,BMW X5 xDrive35i 7-Seater,132800.0,25360.0,2016-04-11,2979.0,102428.0,SUV,BMW,X5 xDrive35i 7-Seater
25,BMW X1 sDrive18i M-Sport,178800.0,16560.0,2021-12-30,1499.0,20.0,SUV,BMW,X1 sDrive18i M-Sport
26,BMW 3 Series 316i Sport (New 10-yr COE),102800.0,10270.0,2013-05-17,1598.0,107215.0,Luxury,BMW,3 Series 316i Sport (New 10-yr COE)
27,Mercedes-Benz C-Class C180 Avantgarde,195800.0,19920.0,2021-06-22,1497.0,9900.0,Luxury,Mercedes-Benz,C-Class C180 Avantgarde
28,Audi A4 1.8A TFSI MU (COE till 11/2024),35800.0,15970.0,2010-02-18,1798.0,,Luxury,Audi,A4 1.8A TFSI MU (COE till 11/2024)
29,Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic SE,225000.0,23820.0,2020-12-29,1997.0,15000.0,SUV,Land,Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic SE
30,Toyota RegiusAce 3.0M,54800.0,12140.0,2017-03-10,2982.0,109000.0,Van,Toyota,RegiusAce 3.0M
31,Volvo V40 Cross Country T5,88000.0,22410.0,2015-12-08,1969.0,70000.0,Hatchback,Volvo,V40 Cross Country T5
32,Mercedes-Benz CLA-Class CLA180,55888.0,21780.0,2014-10-20,1595.0,123456.0,Luxury,Mercedes-Benz,CLA-Class CLA180
33,Opel Insignia 1.6A Turbo,73800.0,12330.0,2017-07-31,1598.0,61038.0,Luxury,Opel,Insignia 1.6A Turbo
34,Toyota Camry 2.0A (COE till 01/2029),61800.0,9640.0,2009-07-31,1998.0,,Luxury,Toyota,Camry 2.0A (COE till 01/2029)
35,Toyota Corolla Altis 1.6A (COE till 04/2029),56800.0,8530.0,2009-07-07,1598.0,,Sedan,Toyota,Corolla Altis 1.6A (COE till 04/2029)
36,Honda Odyssey 2.4A EXV-S Sunroof,85800.0,18390.0,2016-06-02,2356.0,107300.0,MPV,Honda,Odyssey 2.4A EXV-S Sunroof
37,Kia Cerato Forte 1.6A EX (COE till 02/2025),24800.0,9970.0,2010-03-19,1591.0,119000.0,Sedan,Kia,Cerato Forte 1.6A EX (COE till 02/2025)
38,Mercedes-Benz C-Class C180 AMG Line,157800.0,21020.0,2019-01-29,1595.0,45065.0,Luxury,Mercedes-Benz,C-Class C180 AMG Line
39,Nissan NV200 1.5M,63800.0,9180.0,2019-08-16,1461.0,60371.0,Van,Nissan,NV200 1.5M
40,Audi S3 Sedan 2.0A TFSI Quattro,269888.0,27240.0,2021-07-28,1984.0,5000.0,Sports,Audi,S3 Sedan 2.0A TFSI Quattro
42,Honda Jade 1.5A RS (OPC),78800.0,13780.0,2017-05-17,1496.0,41331.0,MPV,Honda,Jade 1.5A RS (OPC)
43,Nissan NV200 1.6A DX,49800.0,7910.0,2018-12-19,1597.0,59000.0,Van,Nissan,NV200 1.6A DX
44,Toyota Corolla Altis 1.6A (COE till 09/2027),44800.0,8850.0,2007-09-27,1598.0,96000.0,Sedan,Toyota,Corolla Altis 1.6A (COE till 09/2027)
45,Mitsubishi Eclipse Cross 1.5A,102800.0,13950.0,2019-03-08,1499.0,43923.0,SUV,Mitsubishi,Eclipse Cross 1.5A
46,Honda Freed Hybrid 1.5A G Honda Sensing,82800.0,16660.0,2017-06-30,1496.0,,MPV,Honda,Freed Hybrid 1.5A G Honda Sensing
47,Bentley Continental GT Convertible 4.0A V8,200000.0,,2012-11-08,3993.0,88000.0,Sports,Bentley,Continental GT Convertible 4.0A V8
48,BMW X2 sDrive18i M-Sport Lite,142000.0,16360.0,2020-01-21,1499.0,,SUV,BMW,X2 sDrive18i M-Sport Lite
49,Toyota Estima 2.4A X (COE till 08/2029),84800.0,12210.0,2009-08-13,2362.0,112348.0,MPV,Toyota,Estima 2.4A X (COE till 08/2029)
50,Toyota Vios 1.5A J (COE till 02/2030),62800.0,8380.0,2010-03-09,1497.0,142888.0,Sedan,Toyota,Vios 1.5A J (COE till 02/2030)
51,Toyota Camry 2.0A (COE till 05/2029),63800.0,9460.0,2009-08-21,1998.0,128744.0,Luxury,Toyota,Camry 2.0A (COE till 05/2029)
52,Toyota Camry 2.4A (COE till 04/2028),53800.0,9580.0,2008-04-15,2362.0,197555.0,Luxury,Toyota,Camry 2.4A (COE till 04/2028)
53,Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,296800.0,29830.0,2021-05-25,1991.0,21629.0,SUV,Mercedes-Benz,GLC-Class GLC300 Coupe 4MATIC
54,Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic HSE,210800.0,25180.0,2019-10-25,1997.0,39138.0,SUV,Land,Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic HSE
55,Kia Cerato K3 1.6A SX,55800.0,12770.0,2016-05-26,1591.0,77000.0,Sedan,Kia,Cerato K3 1.6A SX
56,Mitsubishi Fuso Canter FEA01,19800.0,10410.0,2014-07-30,2998.0,125500.0,Truck,Mitsubishi,Fuso Canter FEA01
57,Nissan Qashqai 1.2A DIG-T Premium,53800.0,13210.0,2016-03-21,1197.0,88237.0,SUV,Nissan,Qashqai 1.2A DIG-T Premium
58,MINI Cooper S 1.6A (COE till 04/2029),65800.0,9900.0,2009-04-28,1598.0,,Sports,MINI,Cooper S 1.6A (COE till 04/2029)
59,Nissan Qashqai 1.2A DIG-T,64800.0,12750.0,2017-03-22,1197.0,93000.0,SUV,Nissan,Qashqai 1.2A DIG-T
60,Mazda 3 1.5A,82000.0,11910.0,2018-12-14,1496.0,39386.0,Sedan,Mazda,3 1.5A
61,Volkswagen Tiguan 1.4A TSI BMT R-Line Panoramic Roof,66800.0,14670.0,2016-03-10,1390.0,78000.0,SUV,Volkswagen,Tiguan 1.4A TSI BMT R-Line Panoramic Roof
62,Toyota Camry Hybrid 2.5A G,116800.0,17070.0,2018-07-26,2487.0,,Luxury,Toyota,Camry Hybrid 2.5A G
63,Nissan Teana 2.0A (COE till 09/2028),54800.0,9140.0,2008-09-02,1997.0,185087.0,Luxury,Nissan,Teana 2.0A (COE till 09/2028)
64,Subaru Forester 2.0i-L Sunroof,88800.0,13770.0,2018-08-20,1995.0,76000.0,SUV,Subaru,Forester 2.0i-L Sunroof
65,Isuzu CYZ52K Tipper,99800.0,24080.0,2016-10-27,15681.0,,Truck,Isuzu,CYZ52K Tipper
66,Toyota Vellfire 2.4A Z Platinum Selection (COE till 08/2030),99800.0,12480.0,2010-09-01,2362.0,130343.0,MPV,Toyota,Vellfire 2.4A Z Platinum Selection (COE till 08/2030)
67,Toyota Estima 2.4A Modellista (COE till 02/2028),66800.0,12330.0,2008-02-04,2362.0,130337.0,MPV,Toyota,Estima 2.4A Modellista (COE till 02/2028)
68,Lexus ES Hybrid ES300h Luxury Sunroof,145800.0,21860.0,2018-01-25,2494.0,36206.0,Luxury,Lexus,ES Hybrid ES300h Luxury Sunroof
69,Kia Niro Electric Long Range,157800.0,18210.0,2020-02-20,,24071.0,Hatchback,Kia,Niro Electric Long Range
70,Mercedes-Benz E-Class E250 CGI Cabriolet AMG Line,118000.0,27960.0,2015-09-23,1991.0,93000.0,Sports,Mercedes-Benz,E-Class E250 CGI Cabriolet AMG Line
71,BMW 5 Series 520i SE,153888.0,21100.0,2018-05-24,1998.0,56341.0,Luxury,BMW,5 Series 520i SE
72,Toyota Corolla Altis 1.6A (COE till 01/2029),54800.0,8640.0,2009-01-05,1598.0,132622.0,Sedan,Toyota,Corolla Altis 1.6A (COE till 01/2029)
73,BMW 2 Series 216d Gran Tourer Luxury,77800.0,16720.0,2016-07-28,1496.0,109000.0,MPV,BMW,2 Series 216d Gran Tourer Luxury
74,Toyota Estima 2.4A Aeras (COE till 09/2028),74800.0,12470.0,2008-09-02,2362.0,130298.0,MPV,Toyota,Estima 2.4A Aeras (COE till 09/2028)
75,Mitsubishi Eclipse Cross 1.5A Style,101800.0,13920.0,2019-01-14,1499.0,60000.0,SUV,Mitsubishi,Eclipse Cross 1.5A Style
76,Maserati GranCabrio Sport 4.7A,375800.0,42370.0,2018-10-25,4691.0,42500.0,Sports,Maserati,GranCabrio Sport 4.7A
77,Mazda 3 1.5A Sunroof,65888.0,11440.0,2017-12-29,1496.0,67100.0,Sedan,Mazda,3 1.5A Sunroof
78,Mitsubishi Outlander 2.4A,80800.0,14610.0,2017-07-07,2360.0,,SUV,Mitsubishi,Outlander 2.4A
79,BMW 5 Series 520i,177800.0,21730.0,2019-05-23,1998.0,35841.0,Luxury,BMW,5 Series 520i
80,Volkswagen Golf 1.4A TSI Comfortline,87800.0,13580.0,2018-05-31,1395.0,,Hatchback,Volkswagen,Golf 1.4A TSI Comfortline
81,Mitsubishi Attrage 1.2A,71800.0,9570.0,2019-11-29,1193.0,30223.0,Sedan,Mitsubishi,Attrage 1.2A
82,Toyota Vios 1.5A E (COE till 12/2028),52800.0,8390.0,2008-12-19,1497.0,120388.0,Sedan,Toyota,Vios 1.5A E (COE till 12/2028)
83,Lamborghini Gallardo LP570-4 Superleggera (COE till 08/2030),373800.0,47190.0,2010-08-05,5204.0,56000.0,Sports,Lamborghini,Gallardo LP570-4 Superleggera (COE till 08/2030)
84,Volkswagen T-Cross 1.0A TSI R-Line,129800.0,12900.0,2021-10-28,999.0,3513.0,SUV,Volkswagen,T-Cross 1.0A TSI R-Line
85,Mercedes-Benz A-Class A180 Progressive,154800.0,16870.0,2020-10-27,1332.0,14710.0,Hatchback,Mercedes-Benz,A-Class A180 Progressive
86,Aston Martin DBX 4.0A,678800.0,63540.0,2020-12-30,3982.0,12616.0,Sports,Aston,Martin DBX 4.0A
87,Audi A4 2.0A TFSI S-tronic,135800.0,17070.0,2019-06-24,1984.0,28000.0,Luxury,Audi,A4 2.0A TFSI S-tronic
88,Audi A4 2.0A TFSI S-tronic,126800.0,17480.0,2018-10-26,1984.0,52430.0,Luxury,Audi,A4 2.0A TFSI S-tronic
89,Mazda CX-3 2.0A Deluxe,117800.0,12970.0,2020-11-11,1998.0,18000.0,SUV,Mazda,CX-3 2.0A Deluxe
90,Kia K2500 Single-Cab,55800.0,8410.0,2019-04-24,2497.0,,Truck,Kia,K2500 Single-Cab
91,Mercedes-Benz C-Class C180 Avantgarde,141800.0,19280.0,2018-11-15,1595.0,54250.0,Luxury,Mercedes-Benz,C-Class C180 Avantgarde
92,Nissan March 1.4C (COE till 05/2029),59800.0,,2009-06-08,1386.0,97800.0,Hatchback,Nissan,March 1.4C (COE till 05/2029)
93,BMW 3 Series 316i,46000.0,16960.0,2014-08-26,1598.0,42816.0,Luxury,BMW,3 Series 316i
94,Mazda 8 2.3A,45800.0,15990.0,2014-10-01,2261.0,103230.0,MPV,Mazda,8 2.3A
95,BMW X2 sDrive18i M-Sport Lite,153800.0,17000.0,2020-06-09,1499.0,27500.0,SUV,BMW,X2 sDrive18i M-Sport Lite
96,Nissan GTR 3.8A (COE till 02/2029),249800.0,38490.0,2009-08-03,3799.0,119235.0,Sports,Nissan,GTR 3.8A (COE till 02/2029)
97,Porsche Macan 2.0A PDK,297800.0,31980.0,2020-07-29,1984.0,20000.0,SUV,Porsche,Macan 2.0A PDK
98,Honda Vezel Hybrid 1.5A X,74800.0,14340.0,2017-09-19,1496.0,77000.0,SUV,Honda,Vezel Hybrid 1.5A X
99,Mercedes-Benz GLA-Class GLA180 Urban Edition,142800.0,16400.0,2020-07-27,1595.0,29957.0,SUV,Mercedes-Benz,GLA-Class GLA180 Urban Edition
100,Toyota Wish 1.8A X (COE till 10/2024),29800.0,13800.0,2010-01-25,1797.0,,MPV,Toyota,Wish 1.8A X (COE till 10/2024)
101,Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,118800.0,16800.0,2018-08-23,1595.0,72244.0,Stationwagon,Mercedes-Benz,CLA-Class CLA180 Shooting Brake Urban
102,Mercedes-Benz E-Class E250 Exclusive,196800.0,23860.0,2019-03-26,1991.0,23333.0,Luxury,Mercedes-Benz,E-Class E250 Exclusive
103,Mercedes-Benz B-Class B200,22000.0,,2013-01-11,1595.0,119000.0,Hatchback,Mercedes-Benz,B-Class B200
104,BMW 5 Series 528i Individual (COE till 10/2031),129800.0,14170.0,2012-04-30,1997.0,118000.0,Luxury,BMW,5 Series 528i Individual (COE till 10/2031)
105,Honda Jazz 1.3A,82800.0,11370.0,2019-09-05,1318.0,51100.0,Hatchback,Honda,Jazz 1.3A
106,Mitsubishi Fuso Super Great FV70H Tipper,149800.0,,2019-09-25,10677.0,,Truck,Mitsubishi,Fuso Super Great FV70H Tipper
107,Audi A5 Sportback 2.0A TFSI S-tronic Design,155800.0,19520.0,2019-06-28,1984.0,22669.0,Luxury,Audi,A5 Sportback 2.0A TFSI S-tronic Design
108,Mercedes-Benz GLC-Class GLC250 4MATIC,122800.0,24610.0,2016-09-13,1991.0,125200.0,SUV,Mercedes-Benz,GLC-Class GLC250 4MATIC
109,Toyota Vellfire 2.4A X (COE till 03/2032),121800.0,12720.0,2012-07-31,2362.0,108200.0,MPV,Toyota,Vellfire 2.4A X (COE till 03/2032)
110,Honda Vezel Hybrid 1.5A X,72888.0,13910.0,2017-09-26,1496.0,80838.0,SUV,Honda,Vezel Hybrid 1.5A X
111,Subaru Forester 2.0A XT Sunroof,63088.0,16340.0,2015-12-29,1998.0,91824.0,SUV,Subaru,Forester 2.0A XT Sunroof
112,Honda Freed Hybrid 1.5A G,98688.0,15100.0,2018-08-23,1496.0,47500.0,MPV,Honda,Freed Hybrid 1.5A G
113,Toyota Dyna 150 3.0M,52800.0,13920.0,2016-06-20,2982.0,135218.0,Truck,Toyota,Dyna 150 3.0M
114,BMW 6 Series 640i Gran Turismo M-Sport Sunroof,199800.0,28010.0,2017-11-08,2998.0,74250.0,Luxury,BMW,6 Series 640i Gran Turismo M-Sport Sunroof
115,Opel Crossland 1.2A X Turbo,74800.0,9690.0,2019-05-13,1199.0,,SUV,Opel,Crossland 1.2A X Turbo
116,Mazda CX-5 2.0A Premium (OPC),105800.0,14640.0,2018-11-26,1998.0,33125.0,SUV,Mazda,CX-5 2.0A Premium (OPC)
117,Mitsubishi Fuso Canter FEA01,37800.0,12410.0,2015-09-21,2998.0,,Truck,Mitsubishi,Fuso Canter FEA01
118,Honda Jazz 1.5A RS  (OPC),54800.0,11140.0,2017-01-11,1498.0,30000.0,Hatchback,Honda,Jazz 1.5A RS  (OPC)
119,BMW 1 Series 116i Luxury,139800.0,14020.0,2021-04-26,1499.0,1239.0,Hatchback,BMW,1 Series 116i Luxury
120,Mercedes-Benz GLA-Class GLA180 AMG Line,153688.0,18380.0,2019-11-15,1595.0,38600.0,SUV,Mercedes-Benz,GLA-Class GLA180 AMG Line
121,Mazda 3 1.5A Deluxe Sunroof,51800.0,13080.0,2016-02-23,1496.0,96000.0,Sedan,Mazda,3 1.5A Deluxe Sunroof
122,Volvo V40 T2,60800.0,12930.0,2016-08-23,1498.0,70000.0,Hatchback,Volvo,V40 T2
